Site,avgrichper,avgabundper,totalrichnessallperiod,totalabundallperiod,GardenSizeLN,TreesShrubs,Bare1m,Mulch1m,FlowersLN,HerbPlantSpp,Urban2kmSQRT,Ag2kmSQRT
Aptos,3.2,30.2,7,149,-0.87,3.68,31.75,47.2,5.18,22.4,4.917316341,0.574456265
BeachFlats,5.6,14.4,12,71,-0.87,3.62,89.2,0,5.51,14,8.073413157,0.412310563
Berryessa,12.8,34.6,17,171,0.65,1.44,61.65,11.4,4.09,12.4,9.667988415,1.29614814
Chadwick,8.4,67.2,18,301,0.66,4.28,55.8,29.6,4.91,12.4,2.801785145,0.447213595
Chinatown,11,22.4,23,112,-0.87,3.18,24.9,47.95,5.14,15.4,9.076893742,2.787471973
CoyoteCreek,11.6,31.4,22,159,-0.19,1.97,54.15,16.45,4.5,14.4,9.351470473,1.1
Farm,5.2,39.2,13,195,0.6,3.83,60.05,4.75,5.5,11.8,4.522167622,0.316227766
Forge,8.6,25,17,125,-0.71,3.03,26.55,38.4,5.59,9.6,9.468896451,1.702938637
Grange,10.2,35.8,18,179,-0.76,2.69,19.55,72.05,4.81,21.8,8.792610534,0.509901951
Homeless,9.6,51,21,255,1.35,4.28,44.8,22.65,5.18,13.8,5.266877633,3.02654919
LaColina,9.8,33,19,165,0.58,1.65,39.3,14.45,4.45,12.4,8.531705574,0.768114575
LagunaSeca,12.8,55.6,18,278,-0.49,3.14,27.1,43.55,3.98,11.6,5.254521862,2.475883681
MEarth,7.2,33.4,10,167,-0.11,2.1,38.2,44.5,4.62,16.2,4.06939799,2.004993766
MIIS,8.2,39.2,11,196,-2.21,2.83,53.4,30.4,3.93,17.6,7.114070565,0.734846923
Prusch,11.2,30.4,20,154,0.7,3,61.55,2.3,4.01,15.8,9.651424765,1.086278049
Salinas,10.8,49.8,14,249,-0.13,2.36,29.3,47.65,6.53,16.2,8.620904825,4.09756025
Seaside,4,13.2,8,66,-1.83,0.88,10.1,34.45,6.55,3.2,7.904429138,0.583095189
WVI,7.2,34.4,14,172,-0.46,1.92,56.4,20.1,4.7,16.2,7.669419796,5.36749476