beespecies,ITD,Sociality,Nest,Behavior,Pollen,Lecty
Agapostemontexanus,1.98,solitary,belowground,excavate,scopa.leg,polylectic
Anthidiummanicatum,4.889,solitary,aboveground,rent,scopa.abdomen,polylectic
Anthophoraurbana,2.98,solitary,belowground,excavate,scopa.leg,polylectic
Apismellifera,3.14,social,aboveground,rent,corbicula,polylectic
Ashmeadeillabucconis,1.52,solitary,aboveground,rent,scopa.abdomen,oligolectic
Bombuscaliginosus,3.5832,social,both,rent,corbicula,polylectic
Bombusvosnesenskii,5.17,social,both,rent,corbicula,polylectic
Ceratinaacantha,1.15,solitary,aboveground,excavate,scopa.leg,polylectic
Ceratinananula,1.02,solitary,aboveground,excavate,scopa.leg,polylectic
Coelioxysrufitarsis,3.316,parasitic,aboveground,na,no.structure,polylectic
Euceraactuosa,3.9,solitary,belowground,excavate,scopa.leg,polylectic
Halictusconfusus,1.341,social,belowground,excavate,scopa.leg,polylectic
Halictusligatus,1.53,social,belowground,excavate,scopa.leg,polylectic
Halictustripartitus,1.2,social,belowground,excavate,scopa.leg,polylectic
Hylaeusleptocephalus,1.13,solitary,aboveground,rent,crop,polylectic
Hylaeusmesillae,1.17,solitary,aboveground,rent,crop,polylectic
Hylaeuspanamensis,1,solitary,aboveground,rent,crop,polylectic
Hylaeuspolifolii,1.43,solitary,aboveground,rent,crop,polylectic
Hylaeuspunctatus,1.46,solitary,aboveground,rent,crop,polylectic
Hylaeusrudbeckiae,1.14,solitary,aboveground,rent,crop,polylectic
LasioglossumDialictussp,1.14,social,belowground,excavate,scopa.leg,polylectic
LasioglossumSpechodogastrasp,1.3,social,belowground,excavate,scopa.leg,polylectic
LasioglossumLasioglossumsp,1.22,solitary,belowground,excavate,scopa.leg,variable
Megachilebrevis,2.77,solitary,both,rent,scopa.abdomen,polylectic
Megachileperihirta,4.13,solitary,belowground,excavate,scopa.abdomen,polylectic
Megachilerotundata,2.4,solitary,aboveground,rent,scopa.abdomen,oligolectic
Melissodesrobustior,3.43,solitary,belowground,excavate,scopa.leg,oligolectic
Melissodessp,2.44,solitary,belowground,both,scopa.leg,variable
Nomadaedwardsii,2.1,parasitic,belowground,na,no.structure,polylectic
Peponapispruinosa,4.27,solitary,belowground,excavate,scopa.leg,oligolectic
Sphecodessp,1.42,parasitic,belowground,na,no.structure,polylectic
Xylocopatabiniformisorpifex,5.84,solitary,aboveground,excavate,scopa.leg,polylectic
Xylocopavaripuncta,7.64,solitary,aboveground,excavate,scopa.leg,polylectic