Site,GardenSizeLN,Trees Shrubs,Bare1m,Grass1m,Mulch1m,FlowersLN,HerbPlantSpp,Urban2kmSQRT,Ag2kmSQRT,GardenSize,NumTreesShrubs,Grass1m,MulchStraw1m,NumFlowers,HerbPlantSpp,Urban2km,Ag2km,Ecoregion
Aptos,-0.87,3.68,31.75,1,47.2,5.18,22.4,4.917316341,0.574456265,0.42,39.6,1,47.2,178.4,22.4,24.18,0.33,MontereyBayPlains
BeachFlats,-0.87,3.62,89.2,1.8,0,5.51,14,8.073413157,0.412310563,0.42,37.4,1.8,0,246.6,14,65.18,0.17,MontereyBayPlains
Berryessa,0.65,1.44,61.65,3.35,11.4,4.09,12.4,9.667988415,1.29614814,1.91,4.2,3.35,11.4,59.6,12.4,93.47,1.68,LowSCValley
Chadwick,0.66,4.28,55.8,1.5,29.6,4.91,12.4,2.801785145,0.447213595,1.94,72,1.5,29.6,136.2,12.4,7.85,0.2,MontereyBayPlains
Chinatown,-0.87,3.18,24.9,9.5,47.95,5.14,15.4,9.076893742,2.787471973,0.42,24,9.5,47.95,170.8,15.4,82.39,7.77,MontereyBayPlains
CoyoteCreek,-0.19,1.97,54.15,0.7,16.45,4.5,14.4,9.351470473,1.1,0.83,7.2,0.7,16.45,89.8,14.4,87.45,1.21,LowSCValley
Farm,0.6,3.83,60.05,4.35,4.75,5.5,11.8,4.522167622,0.316227766,1.83,46.2,4.35,4.75,244,11.8,20.45,0.1,MontereyBayPlains
Forge,-0.71,3.03,26.55,1.35,38.4,5.59,9.6,9.468896451,1.702938637,0.49,20.8,1.35,38.4,267.8,9.6,89.66,2.9,LowSCValley
Grange,-0.76,2.69,19.55,2.75,72.05,4.81,21.8,8.792610534,0.509901951,0.47,14.8,2.75,72.05,123,21.8,77.31,0.26,MontereyBayPlains
Homeless,1.35,4.28,44.8,6.5,22.65,5.18,13.8,5.266877633,3.02654919,3.84,72.6,6.5,22.65,177.4,13.8,27.74,9.16,MontereyBayPlains
LaColina,0.58,1.65,39.3,0.65,14.45,4.45,12.4,8.531705574,0.768114575,1.79,5.2,0.65,14.45,85.6,12.4,72.79,0.59,LowSCValley
LagunaSeca,-0.49,3.14,27.1,1.25,43.55,3.98,11.6,5.254521862,2.475883681,0.61,23,1.25,43.55,53.4,11.6,27.61,6.13,LowSCValley
MEarth,-0.11,2.1,38.2,0.3,44.5,4.62,16.2,4.06939799,2.004993766,0.9,8.2,0.3,44.5,101.4,16.2,16.56,4.02,MontereyBayPlains
MIIS,-2.21,2.83,53.4,1.65,30.4,3.93,17.6,7.114070565,0.734846923,0.11,17,1.65,30.4,51,17.6,50.61,0.54,MontereyBayPlains
Prusch,0.7,3,61.55,6.15,2.3,4.01,15.8,9.651424765,1.086278049,2.01,20,6.15,2.3,55.2,15.8,93.15,1.18,LowSCValley
Salinas,-0.13,2.36,29.3,1.25,47.65,6.53,16.2,8.620904825,4.09756025,0.88,10.6,1.25,47.65,684.8,16.2,74.32,16.79,MontereyBayPlains
Seaside,-1.83,0.88,10.1,5.35,34.45,6.55,3.2,7.904429138,0.583095189,0.16,2.4,5.35,34.45,702.4,3.2,62.48,0.34,MontereyBayPlains
WVI,-0.46,1.92,56.4,1.45,20.1,4.7,16.2,7.669419796,5.36749476,0.63,6.8,1.45,20.1,110.2,16.2,58.82,28.81,MontereyBayPlains